,Quote,Link
40,Aaswa Trading,https://www.moneycontrol.com/india/stockpricequote/trading/aaswatradingexports/ATE02
41,AAVAS Financier,https://www.moneycontrol.com/india/stockpricequote/financegeneral/aavasfinanciers/AF17
42,Aayush Food ,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aayushfoodherbs/AFH01
43,AB Capital,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/adityabirlacapital/ABC9
44,AB Corp,https://www.moneycontrol.com/india/stockpricequote/abcorp/abcorp/ABC05
45,AB Cotspin,https://www.moneycontrol.com/india/stockpricequote/textiles/abcotspinindia/ACI01
46,AB F&R-PP,https://www.moneycontrol.com/india/stockpricequote/retailing/adityabirlafashionretailpp/ABF01
47,AB Fashion-RE,https://www.moneycontrol.com/india/stockpricequote/retailing/adityabirlafashionretailre/ABF
48,AB Money,https://www.moneycontrol.com/india/stockpricequote/financegeneral/adityabirlamoney/ABM01
49,AB Nuvo,https://www.moneycontrol.com/india/stockpricequote/diversified/adityabirlanuvo/ABN01
50,Abacus Computer,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/abacuscomputers/AC
51,Aban Offshore,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/abanoffshore/AO04
52,ABans Enterpris,https://www.moneycontrol.com/india/stockpricequote/trading/abansenterprises/MST03
53,ABATE AS IND.,https://www.moneycontrol.com/india/stockpricequote/abateasind/abateasindustries/TI32
54,ABB India,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abbindia/ABB
55,Abbott India,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51
56,ABC Bearings,https://www.moneycontrol.com/india/stockpricequote/bearings/abcbearings/ABC02
57,ABC Gas,https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/abcgasinternational/BE05
58,ABC India,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/abcindia/ABC
59,Abco Plastic,https://www.moneycontrol.com/india/stockpricequote/plastics/abcoplastics/AP17
60,Abee Printer,https://www.moneycontrol.com/india/stockpricequote/computershardware/abeeprinterribbons/APR01
61,Abesc,https://www.moneycontrol.com/india/stockpricequote/abesc/abesc/BI19
62,ABFRLPP1,https://www.moneycontrol.com/india/stockpricequote/retailing/adityabirlafashionretailpp1/ABF02
63,ABG Shipyard,https://www.moneycontrol.com/india/stockpricequote/shipping/abgshipyard/ABG01
64,Abhijit Trading,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abhijittradingcompany/ATC01
65,Abhinav Capital,https://www.moneycontrol.com/india/stockpricequote/financegeneral/abhinavcapitalservices/ACS04
66,Abhinav Leasing,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/abhinavleasingfinance/ALF03
67,Abhishek Corp,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/abhishekcorporation/AC22
68,Abhishek Finle,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/abhishekfinlease/AF32
69,Abhishek Infra,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abhishekinfraventures/AI73
70,Abhishek Integr,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abhishekintegrations/AI83
71,Abirami Finance,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/abiramifinancialservicesindia/AFS
72,ABL Biotech,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ablbiotechnologies/ABL
73,ABM Inter,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abminternational/ABM02
74,ABM Knowledg,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/abmknowledgeware/ABM
75,ABN Granites,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/abngranites/ABN
76,Abner Pharma,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abnerpharma/AP01
77,ABSL AMC,https://www.moneycontrol.com/india/stockpricequote/financeinvestment/adityabirlasunlifeamc/ABS
78,ABSL NHETF,https://www.moneycontrol.com/india/stockpricequote/etf/adityabirlasunlifeniftyhealthcareetf/ABS02
79,ABSL Silver ETF,https://www.moneycontrol.com/india/stockpricequote/abslsilveretf/adityabirlasunlifesilveretf/ABS04
80,ABSLBANETF,https://www.moneycontrol.com/india/stockpricequote/abslbanetf/adityabirlasunlifebankingetf/ABSLB13987
81,ABSLNN50ET,https://www.moneycontrol.com/india/stockpricequote/abslnn50et/adityabirlasunlifeniftynext50etf/ABSLN7339
82,ACC,https://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06
83,Accel,https://www.moneycontrol.com/india/stockpricequote/computershardware/accel/AT17
84,Accelya Kale,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accelyakalesolutions/KAL
85,Accentia Techno,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accentiatechnologies/AT19
86,Acclaim Ind,https://www.moneycontrol.com/india/stockpricequote/packaging/acclaimindustries/EP12
87,Accord Synergy,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/accordsynergy/AS22
88,Accuracy Shippi,https://www.moneycontrol.com/india/stockpricequote/shipping/accuracyshipping/AS26
89,Accurate Exp,https://www.moneycontrol.com/india/stockpricequote/trading/accurateexports/AE12
90,Accurate Transf,https://www.moneycontrol.com/india/stockpricequote/electricequipment/accuratetransformers/ATL03
91,ACE Edutrend,https://www.moneycontrol.com/india/stockpricequote/diversified/aceedutrend/AIF
92,ACE ENG,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/aceengitech/PSF
93,ACE Integrated,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aceintegratedsolutions/AIS
94,Ace Labs,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/acelaboratories/AL01
95,Ace Men Engg Wo,https://www.moneycontrol.com/india/stockpricequote/trading/acemenenggworkslimited/AME03
96,Ace Soft Export,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/acesoftwareexports/ASE02
97,Ace Software,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/acesoftware/AS23
98,Ace Stonecraft ,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/acestonecraft/ASL02
99,Ace Tours,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/acetoursworldwide/ATW
100,Acewin Agriteck,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/acewinagriteck/INE02
101,Achal Invest,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/achalinvestments/AI68
102,Achyut Health,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/achyuthealthcare/AH09
103,ACI Infocom,https://www.moneycontrol.com/india/stockpricequote/computershardware/aciinfocom/ACI07
104,ACIL Cotton Ind,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/acilcottonindustries/ACI14
105,Acjlascadb svdj,https://www.moneycontrol.com/india/stockpricequote/acjlascadbsvdj/acjlascadbsvdj/BCI04
106,ACJSCB ANAN,https://www.moneycontrol.com/india/stockpricequote/diversified/acjscbanan/GG04
107,Acknit Industri,https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/acknitindustriesltd/AK
108,Acmasnvadn dcnd,https://www.moneycontrol.com/india/stockpricequote/acmasnvadndcnd/acmasnvadndcnd/CI16
109,Acme Fluoro Pol,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/acmefluoropolymers/AFP01
110,Acme Industries,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/acmeindustries/AI02
111,Acme Resources,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/acmeresources/AR9
112,Acme Spinners,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/acmespinners/ASL01
113,Acquaint Export,https://www.moneycontrol.com/india/stockpricequote/aquaculture/acquaintexports/AE
114,Acropetal Tech,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/acropetaltechnologies/AT21
115,Acrow India,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/acrowindia/AI03
116,Acrysil India,https://www.moneycontrol.com/india/stockpricequote/acrysilindia/acrysilindia/AI04
117,Acscmsdvnsdvin,https://www.moneycontrol.com/india/stockpricequote/sugar/acscmsdvnsdvinananiaspcmaso/PSI01
118,Action Const,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/actionconstructionequipment/ACE3
119,Action Financia,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/actionfinancialservicesindia/AFS01
120,Active Clothing,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/activeclothingcoltd/ACC
121,Acumen Trading ,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/acumentradinginvestments/ATI01
122,Ad Manum Fin,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/admanumfinance/AMF01
123,Adam Comsof,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/adamcomsof/AC01
124,Adani Enterpris,https://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13
125,Adani Green Ene,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanigreenenergylimited/ADANI54145
126,Adani Ports,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adaniportsspecialeconomiczone/MPS
127,Adani Power,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanipower/AP11
128,Adani Total Gas,https://www.moneycontrol.com/india/stockpricequote/adanitotalgas/adanitotalgas/ADG01
129,Adani Trans,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/adanitransmission/AT22
130,Adani Wilmar,https://www.moneycontrol.com/india/stockpricequote/consumerfood/adaniwilmar/AW
131,Adarsh Chemical,https://www.moneycontrol.com/india/stockpricequote/fertilisers/adarshchemicalsfertilisers/ACF
132,Adarsh Mercant,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/adarshmercantile/AM12
133,Adarsh Plant,https://www.moneycontrol.com/india/stockpricequote/pumps/adarshplantationprojects/APP01
134,ADC India Comm,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/adcindiacommunications/KC07
135,Adcon Capital,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/adconcapitalservices/ACS06
136,Adcon Capital S,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/adconcapitalservices/ACS03
137,Add-Life Pharma,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/addlifepharma/ALP
138,Add-Shop Promot,https://www.moneycontrol.com/india/stockpricequote/personalcare/addshoppromotions/AP12
139,Addi Industries,https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/addiindustries/AI05
140,Adel Visi,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/adelvisi/AV01
141,Adeshwar Medite,https://www.moneycontrol.com/india/stockpricequote/medicalequipmentsuppliesaccessories/adeshwarmeditex/AM10
142,ADF Foods,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/adffoodsindustries/AF30
143,Adharshila Cap,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/adharshilacapitalservices/ACS05
144,Adhbhut Infra,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adhbhutinfrastructure/AI71
145,Adhunik Metalik,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/adhunikmetaliks/AM9
146,Adhunik Synth,https://www.moneycontrol.com/india/stockpricequote/textilesweaving/adhuniksynthetics/AS
147,Adhunik Yarns,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/adhunikyarns/AY
148,Adinath Bio-Lab,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/adinathbiolabs/ABL02
149,Adinath Exim,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/adinatheximresources/AER
150,ADINATH TEXTILE,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/adinathtextiles/AT02
151,Adishakti Loha,https://www.moneycontrol.com/india/stockpricequote/ironsteel/adishaktilohaispat/ALI05
152,Adithya Alkaloi,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/adithyaalkaloids/AAL
153,Adithya Aqua,https://www.moneycontrol.com/india/stockpricequote/aquaculture/adithyaaquaculture/AAC03
154,Aditri Industri,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/aditriindustries/AC02
155,Aditya Birla Ch,https://www.moneycontrol.com/india/stockpricequote/chemicals/adityabirlachemicals/ABC08
156,Aditya Birla F,https://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR
157,Aditya Consumer,https://www.moneycontrol.com/india/stockpricequote/retail/adityaconsumermarketing/ACM01
158,Aditya Electro,https://www.moneycontrol.com/india/stockpricequote/electricals/adityaelectrocommunications/AEC02
159,Aditya Exports ,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/adityaexports/AEL01
160,Aditya Forge,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/adityaforge/AF
161,Aditya Int,https://www.moneycontrol.com/india/stockpricequote/trading/adityainternational/AI37
162,Aditya Ispat,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/adityaispat/AI06
163,Aditya Lime,https://www.moneycontrol.com/india/stockpricequote/chemicals/adityalimeindustries/ALI01
164,Aditya Mills,https://www.moneycontrol.com/india/stockpricequote/diversified/adityamills/AML01
165,Aditya Polymers,https://www.moneycontrol.com/india/stockpricequote/packaging/adityapolymers/APL02
166,Aditya Spinners,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/adityaspinners/AS01
167,Aditya Vision,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/adityavision/AV
168,Adjia Tech,https://www.moneycontrol.com/india/stockpricequote/software/adjiatechnologies/AT24
169,Adline Chem Lab,https://www.moneycontrol.com/india/stockpricequote/adlinechemlab/adlinechemlab/KL
170,Ador Fontech,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/adorfontech/AF22
171,Ador Multi,https://www.moneycontrol.com/india/stockpricequote/personalcare/adormultiproducts/AM01
172,Ador Powertron,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/adorpowertron/AP25
173,Ador Technopak,https://www.moneycontrol.com/india/stockpricequote/packaging/adortechnopak/AT11
174,Ador Welding,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/adorwelding/AW01
175,ADS Diagnostic ,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/adsdiagnostic/ADS
176,Advait Infratec,https://www.moneycontrol.com/india/stockpricequote/constructioninfrastructure/advaitinfratechlimited/AIL05
177,Advance Bio-Coa,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/advancebiocoalindia/ABC04
178,Advance Life,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/advancelifestyles/AAM
179,Advance Meter,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/advancemeteringtechnology/AMT
180,Advance Multi,https://www.moneycontrol.com/india/stockpricequote/rubber/advancemultitech/AM02
181,Advance Petro,https://www.moneycontrol.com/india/stockpricequote/detergents/advancepetrochemicals/AP02
182,Advance Power,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/advancepowerinfratech/MF05
183,Advance Syntex ,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/advancesyntex/AS08
184,Advanced Enzyme,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/advancedenzymetechnologies/AET
185,Advanced Micron,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/advancedmicronicdevices/AMD
186,Advani Hotels,https://www.moneycontrol.com/india/stockpricequote/hotels/advanihotelsresortsindia/AHR
187,Advanta,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/advanta/AI39
188,Advent Computer,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/adventcomputerservices/ACS01
189,Advik Capital ,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/advikcapital/AIL04
190,Advik Labors,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/adviklaboratories/AL07
191,ADVIKCA-RE,https://www.moneycontrol.com/india/stockpricequote/financeinvestment/advikcapitalre/ACR
192,AEC Enterprises,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aecenterprises/AEC
193,AEC India,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/aecindia/AEC01
194,Aegis Logistics,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9
195,Aeonian Pub,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/aeonianinvestments/AI07
196,Aesculapius Rem,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aesculapiusremedies/AR05
197,Aether Ind,https://www.moneycontrol.com/india/stockpricequote/specialitychemicals/aetherindustries/AI84
198,Affle India,https://www.moneycontrol.com/india/stockpricequote/affleindia/affleindia/AI82
199,Affordable Robo,https://www.moneycontrol.com/india/stockpricequote/engineering/affordableroboticautomation/ARA
200,AFL,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/apmfinvestlimited/APMFI54277
201,Aftek,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/aftek/A14
202,Agarwal Ind,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/agarwalindustrialcorporation/AIC03
203,AGI Greenpac,https://www.moneycontrol.com/india/stockpricequote/agigreenpac/agigreenpac/HSI02
204,AGI Infra,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/agiinfra/AI43
205,Agio Paper,https://www.moneycontrol.com/india/stockpricequote/paper/agiopaperindustries/API08
206,Agri Marine Exp,https://www.moneycontrol.com/india/stockpricequote/aquaculture/agrimarineexports/AME01
207,Agri-Tech,https://www.moneycontrol.com/india/stockpricequote/fertilisers/agritechindia/ATI02
208,Agrimas Chem,https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/agrimaschemicals/ACL04
209,Agrimony Comm,https://www.moneycontrol.com/india/stockpricequote/trading/agrimonycommodities/AC11
210,Agritech Hatch,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/agritechhatcheriesfoods/AHF
211,Agro Chem Punj,https://www.moneycontrol.com/india/stockpricequote/fertilisers/agrochempunjab/ACP01
212,Agro Dutch Ind,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/agrodutchindustries/ADI02
213,Agro Phos India,https://www.moneycontrol.com/india/stockpricequote/diversified/agrophosindia/API
214,Agro Tech Foods,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/agrotechfoods/ATF
215,AGS Infotech,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/agsinfotech/AGS02
216,AGS Transact,https://www.moneycontrol.com/india/stockpricequote/onlineservices/agstransacttechnologies/ATT
217,AHDVBCH,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ahdvbch/SCAPD17
218,Ahimsa Ind,https://www.moneycontrol.com/india/stockpricequote/plastics/ahimsaindustries/AI44
219,Ahlada Engineer,https://www.moneycontrol.com/india/stockpricequote/ahladaengineer/ahladaengineers/AE21
220,Ahlcon Parent,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ahlconparenteralindia/API01
221,Ahluwalia,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ahluwaliacontractsindia/ACI12
222,Ahmedabad St,https://www.moneycontrol.com/india/stockpricequote/steelrolling/ahmedabadstellcr/AS02
223,Ahura Weld,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/ahuraweldingelecmfg/AWE
224,AI Champdany,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aichampdanyindustries/AIC02
225,AIA Engineering,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/aiaengineering/AIE01
226,AIH,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ambassadorintraholdings/AIHL54252
227,Aikyam Intellec,https://www.moneycontrol.com/india/stockpricequote/packaging/aikyamintellectualpropertyconsultancy/MPU
228,Aimco Pesticide,https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/aimcopesticides/AP03
229,Air Command,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/aircommandindia/ACI02
230,Air Command Tec,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/aircommandtechnologies/ACT
231,Airan,https://www.moneycontrol.com/india/stockpricequote/airan/airan/A09
232,Airo Lam,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/airolam/AL08
233,Aishwarya Tech,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/aishwaryatechnologiestelecom/AT15
234,AJ Brothers,https://www.moneycontrol.com/india/stockpricequote/aluminium/ajbrothers/AJB
235,Ajanta Pharma,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22
236,Ajanta Soya,https://www.moneycontrol.com/india/stockpricequote/vanaspatioils/ajantasoya/AS03
237,Ajanta Tubes,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/ajantatubes/AT03
238,Ajbcjsbc lvnsdj,https://www.moneycontrol.com/india/stockpricequote/ajbcjsbclvnsdj/ajbcjsbclvnsdjv/NGIL541418
239,Ajcon Global,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/ajconglobal/AG01
240,AJEL,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/ajel/AI64
241,Ajmera Realty,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/ajmerarealtyinfraindia/ARI03
242,Ajooni Biotech,https://www.moneycontrol.com/india/stockpricequote/diversified/ajoonibiotechltd/ABL01
243,AJR Infra & Tol,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ajrinfratolling/GIP01
244,Ajwa Fun World,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ajwafunworldresort/AFW
245,Akai Impex,https://www.moneycontrol.com/india/stockpricequote/trading/akaiimpex/AI09
246,Akar Auto Indus,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/akarautoindustries/AT04
247,Akar Laminators,https://www.moneycontrol.com/india/stockpricequote/packaging/akarlaminators/AL03
248,Akash Agencies,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/akashagencies/AA11
249,Akash Agro Ind,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/akashagroindustries/AAI
250,Akash Housing,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/akashhousing/AH03
251,Akash Infraproj,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/akashinfraprojects/AI76
252,Akashdeep Metal,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/akashdeepmetalindustries/AMI
253,AKC Synthetics,https://www.moneycontrol.com/india/stockpricequote/textilesweaving/akcsynthetics/AKC
254,AKG Acoustics,https://www.moneycontrol.com/india/stockpricequote/electricals/akgacousticsindia/AKG
255,AKG Exim,https://www.moneycontrol.com/india/stockpricequote/akgexim/akgexim/AE20
256,Akhil Ceramics ,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/akhilceramics/ACL01
257,AKI India,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/akiindia/AI80
258,AKM Lace & Embr,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/akmlaceembrotex/ALE
259,AKM Lace and Em,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/akmlaceembrotex/AKM
260,Aksh Optifibre,https://www.moneycontrol.com/india/stockpricequote/cablestelephone/akshoptifibre/AO03
261,Akshar Spintex,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/aksharspintexltd/ASL
262,AksharChem,https://www.moneycontrol.com/india/stockpricequote/dyespigments/aksharchemindia/AI29
